id,section,claim,classification,independently_checked,evidence,note
C01,3,Proposition 3.1 rank-one kernel preservation ker M'=ker M,PROVED,yes,proof read line by line; algebra correct,proof is complete and elementary
C02,3,six length-40 profiles from M_g3 + 10*1^T,COMPUTATIONALLY VERIFIED,yes,all six columns reproduced exactly; L'=40,A(15|14|11) B(11|12|17) C(10|14|16) D(12|10|18) E(13|16|11) F(19|11|10)
C03,3,M_H d = M_g3 d for equal-length macro differences,PROVED,yes,follows from 1^T d = 0,correct
C04,2,Carpi rank condition forces commutatively bijective incidence; impossible for 6 vectors in Z^3,SOURCE MISMATCH,no,no theorem number or precise statement given,load-bearing claim attributed to Carpi without exact citation
C05,4.1,K<=40 window meets at most three consecutive macro blocks; B_3 gate exact,PROVED,yes,length <= 80 = 2L spans <= 3 blocks,correct
C06,4.2,long-period parent/template/ancestor gate,HYPOTHESIS,no,relies on external Rao-Rosenfeld framework,correctly flagged as separate fail-closed certificate
C07,5,Theorem 5.1 finite subset-factor gate,PROVED,yes,proof read; correct,elementary infrastructure rather than a headline theorem
C08,5,Corollary 5.2 half-period ceiling K <= floor(Lr/2),PROVED,yes,trivial,correct
C09,5,AF/AEF/no-C factor-maximal covers and ceilings 60/100/340,COMPUTATIONALLY VERIFIED,partial,ceiling arithmetic reproduced; covers cited as independently regenerated,individual no-C ceilings 100/260/340 confirmed
C10,5+15,ADEF_complete stage appears in architecture but no cover is given,PROOF GAP,yes,ADEF occurs twice; never in the cover table,architecture promises a stage whose finite cover is not supplied
C11,6,support geometry / affine target separation,PROVED,yes,derivation correct,zero signature correctly declared legitimate
C12,7,carry recurrence and delta = c1 - c0 in {-1|0|+1},PROVED,yes,verified from 0 <= i_j < L,correct
C13,7+8.2,rational mechanical word / rotation reading,KNOWN,n/a,correctly disclaimed as classical,no novelty claimed
C14,8,Theorem 8.1 six carry domains exhaustive,PROVED,yes,c0|c1 in {0|1} times q=0 or q>=1,verified by independent enumeration
C15,8,34 physically realizable domain/role patterns,PROVED,yes,2+4+4+8+8+8=34 reproduced at every L tested,exact
C16,8,exactly 19 support families for L>=5,COMPUTATIONALLY VERIFIED,yes,independently reproduced 19 at L=5|6|7|8|12|40,written proof of the 34->19 collapse is a sketch
C17,8,Table 1 the nineteen closed cardinalities,COMPUTATIONALLY VERIFIED,yes,all 19 values matched exactly at L=40 as a multiset,no derivation of any cardinality appears in the manuscript
C18,8,pairwise distinctness of the 19 families,PROOF GAP,yes,distinctness holds computationally,text argues via coefficient-shape spectra + cardinalities without exhibiting it
C19,8.1,small-L family counts 9|15|19|19|19|19,COMPUTATIONALLY VERIFIED,yes,reproduced exactly for L=2..7,my first attempt gave 8|14|18 due to my own key collision; fixed
