Family_1,Family_2,Separating_Invariant,Symbolic_Argument
E,Zs-A,"Non-empty signatures","E contains only 0; all other families contain at least one non-zero signature for L>=5."
E,Z-A,"Non-empty signatures","E contains only 0; all other families contain at least one non-zero signature for L>=5."
E,P-A,"Non-empty signatures","E contains only 0; all other families contain at least one non-zero signature for L>=5."
E,M-A,"Non-empty signatures","E contains only 0; all other families contain at least one non-zero signature for L>=5."
E,Z-O,"Non-empty signatures","E contains only 0; all other families contain at least one non-zero signature for L>=5."
E,P-O,"Non-empty signatures","E contains only 0; all other families contain at least one non-zero signature for L>=5."
E,M-O,"Non-empty signatures","E contains only 0; all other families contain at least one non-zero signature for L>=5."
E,Z-C,"Non-empty signatures","E contains only 0; all other families contain at least one non-zero signature for L>=5."
E,P-C,"Non-empty signatures","E contains only 0; all other families contain at least one non-zero signature for L>=5."
E,M-C,"Non-empty signatures","E contains only 0; all other families contain at least one non-zero signature for L>=5."
E,Z-M,"Non-empty signatures","E contains only 0; all other families contain at least one non-zero signature for L>=5."
E,P-M,"Non-empty signatures","E contains only 0; all other families contain at least one non-zero signature for L>=5."
E,Pt-M,"Non-empty signatures","E contains only 0; all other families contain at least one non-zero signature for L>=5."
E,M-M,"Non-empty signatures","E contains only 0; all other families contain at least one non-zero signature for L>=5."
E,Mt-M,"Non-empty signatures","E contains only 0; all other families contain at least one non-zero signature for L>=5."
E,Z-OO,"Non-empty signatures","E contains only 0; all other families contain at least one non-zero signature for L>=5."
E,P-OO,"Non-empty signatures","E contains only 0; all other families contain at least one non-zero signature for L>=5."
E,M-OO,"Non-empty signatures","E contains only 0; all other families contain at least one non-zero signature for L>=5."
Zs-A,Z-A,"Zero membership","0 in Z-A (take u=v=w) but 0 not in Zs-A (h >= 2 prevents u=v=w)."
Zs-A,P-A,"Depth moment mu(sigma)","mu is constant for A-types: Z-A/Zs-A = 0, P-A = -L, M-A = +L."
Zs-A,M-A,"Depth moment mu(sigma)","mu is constant for A-types: Z-A/Zs-A = 0, P-A = -L, M-A = +L."
Zs-A,Z-O,"Moment constancy / Shape","A-type families have exactly one constant moment value and genuine (+1,-2,+1) shapes. Non-A families either have multiple moment values (M, OO, O, C) or lack the shape."
Zs-A,P-O,"Moment constancy / Shape","A-type families have exactly one constant moment value and genuine (+1,-2,+1) shapes. Non-A families either have multiple moment values (M, OO, O, C) or lack the shape."
Zs-A,M-O,"Moment constancy / Shape","A-type families have exactly one constant moment value and genuine (+1,-2,+1) shapes. Non-A families either have multiple moment values (M, OO, O, C) or lack the shape."
Zs-A,Z-C,"Moment constancy / Shape","A-type families have exactly one constant moment value and genuine (+1,-2,+1) shapes. Non-A families either have multiple moment values (M, OO, O, C) or lack the shape."
Zs-A,P-C,"Moment constancy / Shape","A-type families have exactly one constant moment value and genuine (+1,-2,+1) shapes. Non-A families either have multiple moment values (M, OO, O, C) or lack the shape."
Zs-A,M-C,"Moment constancy / Shape","A-type families have exactly one constant moment value and genuine (+1,-2,+1) shapes. Non-A families either have multiple moment values (M, OO, O, C) or lack the shape."
Zs-A,Z-M,"Moment constancy / Shape","A-type families have exactly one constant moment value and genuine (+1,-2,+1) shapes. Non-A families either have multiple moment values (M, OO, O, C) or lack the shape."
Zs-A,P-M,"Moment constancy / Shape","A-type families have exactly one constant moment value and genuine (+1,-2,+1) shapes. Non-A families either have multiple moment values (M, OO, O, C) or lack the shape."
Zs-A,Pt-M,"Moment constancy / Shape","A-type families have exactly one constant moment value and genuine (+1,-2,+1) shapes. Non-A families either have multiple moment values (M, OO, O, C) or lack the shape."
Zs-A,M-M,"Moment constancy / Shape","A-type families have exactly one constant moment value and genuine (+1,-2,+1) shapes. Non-A families either have multiple moment values (M, OO, O, C) or lack the shape."
Zs-A,Mt-M,"Moment constancy / Shape","A-type families have exactly one constant moment value and genuine (+1,-2,+1) shapes. Non-A families either have multiple moment values (M, OO, O, C) or lack the shape."
Zs-A,Z-OO,"Moment constancy / Shape","A-type families have exactly one constant moment value and genuine (+1,-2,+1) shapes. Non-A families either have multiple moment values (M, OO, O, C) or lack the shape."
Zs-A,P-OO,"Moment constancy / Shape","A-type families have exactly one constant moment value and genuine (+1,-2,+1) shapes. Non-A families either have multiple moment values (M, OO, O, C) or lack the shape."
Zs-A,M-OO,"Moment constancy / Shape","A-type families have exactly one constant moment value and genuine (+1,-2,+1) shapes. Non-A families either have multiple moment values (M, OO, O, C) or lack the shape."
Z-A,P-A,"Depth moment mu(sigma)","mu is constant for A-types: Z-A/Zs-A = 0, P-A = -L, M-A = +L."
Z-A,M-A,"Depth moment mu(sigma)","mu is constant for A-types: Z-A/Zs-A = 0, P-A = -L, M-A = +L."
Z-A,Z-O,"Moment constancy / Shape","A-type families have exactly one constant moment value and genuine (+1,-2,+1) shapes. Non-A families either have multiple moment values (M, OO, O, C) or lack the shape."
Z-A,P-O,"Moment constancy / Shape","A-type families have exactly one constant moment value and genuine (+1,-2,+1) shapes. Non-A families either have multiple moment values (M, OO, O, C) or lack the shape."
Z-A,M-O,"Moment constancy / Shape","A-type families have exactly one constant moment value and genuine (+1,-2,+1) shapes. Non-A families either have multiple moment values (M, OO, O, C) or lack the shape."
Z-A,Z-C,"Moment constancy / Shape","A-type families have exactly one constant moment value and genuine (+1,-2,+1) shapes. Non-A families either have multiple moment values (M, OO, O, C) or lack the shape."
