ID,Severity,Type,File/Section,Claim,Problem,Evidence,Required action
P7-001,MAJOR,Publication metadata,P7_MANUSCRIPT_v0.2 title page,Authorship is release-ready,The author field is still a placeholder,"Rendered page 1 shows [author placeholders].",Replace placeholders with final authorship and affiliations before submission.
P7-002,MAJOR,Claim calibration,verify_p7_main_theorem_v2.py final output,THEOREM LOGIC CERTIFIED,The program does not executable-check the external preservation theorem generic closure descent proof or base-bound completeness,"Obligation audit: those four items are absent from the code although the final line certifies theorem logic.",Replace the final line with an exact bounded list of checked finite obligations and separately list assumptions/prose proofs.
P7-003,MAJOR,Exposition,P7_MANUSCRIPT_v0.2 Sections 5-7,The residual mechanism is independently human-readable,The paper has no running example connecting word geometry to a seed row transition and descent,"A reader meets A/x/B/y/D q equation (5.4) CSV rows and mu without one persistent concrete configuration.",Add a human-scale worked example and a bidirectional row-to-geometry bridge; label its witness category.
P7-004,MAJOR,Artifact provenance,Outer and inner P7_MANUSCRIPT_v0.2.pdf,The delivered PDF is unambiguous,Two binary-different PDFs are shipped without a canonical designation,"Outer SHA A6BD50...16B2; inner SHA 6FE6E5...C62; eight rendered pages are pixel-identical at 120 dpi.",Choose one canonical PDF include it in the release manifest and remove or explicitly explain the duplicate at packaging time.
P7-005,MAJOR,Repository governance,MATH_CLAIMS.md,Paper 7 claims have repository ledger status,The new theorem/certificate/novelty claims have no matching ledger rows,"Search of MATH_CLAIMS.md found prior unfavorable-factor context but no Paper 7 / 99-35-17 theorem entry.",With human approval add calibrated rows with Level 1/Level 2 statuses source dates quotes and last-attempted-to-trace date.
P7-006,MODERATE,Certificate transparency,verify_p7_main_theorem_v2.py and supplied data,The verifier validates the delivered certificate artifacts,The verifier hard-codes/recomputes data and never reads the shipped G85 JSON or CSV files,"Clean-room comparison was required to establish exact equality across JSON CSV verifier MD and TeX.",Either add explicit artifact comparisons or state that CSV/JSON files are presentation copies not verifier inputs.
P7-007,MODERATE,Literature accuracy,P7_MANUSCRIPT_v0.2 Section 11,Those results concern words blocked on both sides,The sentence is overbroad because cited work defines/discusses left- and right-maximal words even when its headline constructions are finite maximal words,"Cummings-Mays title is A One-Sided Zimin Construction; Bullock writes 'A word w is left-maximal if'.",State the relevant distinction: prior finite maximal/one-sided-maximal work does not give a left-dead word with an infinite continuation on the other side.
P7-008,MINOR,Quantifier precision,P7_MANUSCRIPT_v0.2 Section 2,Arbitrarily long finite extensions imply an infinite extension over a finite alphabet,The sentence omits the prefix-closure/factorial hypothesis required by the stated tree argument,"For A4 factoriality makes the continuation tree prefix-closed; finite alphabet alone is insufficient for an arbitrary language.",Insert for a factorial language over a finite alphabet.
P7-009,MINOR,Typesetting,P7_MANUSCRIPT_v0.2.pdf Appendix A-B,Appendix data are readily legible,Long morphism strings and certificate filenames split into isolated fragments across lines,"Rendered pages 7-8 show small terminal chunks and filenames broken mid-token.",Use a better verbatim/listing environment or a compact supplementary-file table.
P7-010,MINOR,Portability,verify_p7_main_theorem_v2.py output,Verifier output renders correctly,The em dash is emitted as a replacement glyph in the tested Windows console,"Observed raw output: base window: 190 letters � ASF and residual-free.",Use ASCII punctuation or configure UTF-8 output explicitly.
P7-011,MINOR,Source calibration,P7_MANUSCRIPT_v0.2 references and claim audit,Primary-source verification is recorded next to external claims,The package names sources but does not store the protocol-required opened date and short primary quote beside each Level 2 claim,"Independent audit records Shur 2008 Keränen 1992 and Keränen 2010 opened on 2026-09-03 with short quotes.",Add the required source URL date and short quote to the canonical claims ledger with human approval.
P7-012,COSMETIC,Efficiency/Pedagogy,P7_MANUSCRIPT_v0.2 Section 7,The 190 bound is tight,No minimality is claimed but the proof uses a visibly loose number,"Independent bounds give a common sufficient prefix length 178 and same-block residual length 169.",Keep 190 if desired but note explicitly that it is a convenient safe window with 12-symbol slack.
