id,claim/result,primary artifact/script,output/evidence,expected headline,status,missing closure data
R1,Six-domain lattice enumeration,work/sixdomain_full.js (Claude master closure scratch),runs/sixdomain_full.json,known: boundary L=4..120; cardinalities L=5..200; distinctness finite falsification,NEEDS_LOCAL_CAPTURE,"exact script hash, node version, exact command, runtime, raw output hash"
R2,34 physical domain/mask patterns,work/sixdomain_full.js,runs/sixdomain_full.json,34 patterns reported at every tested L,NEEDS_LOCAL_CAPTURE,exact input-free command and raw output hash
R3,19 support families + cardinalities,work/sixdomain_full.js,runs/sixdomain_full.json,all 19 formulas passed tested ranges; symbolic proof now separate,NEEDS_LOCAL_CAPTURE,script/output hashes; checker command
R4,All-L pairwise distinctness theorem,PAPER4_19_FAMILY_DISTINCTNESS_SYMBOLIC_PROOF_2026-08-29.md,optional enumerator,symbolic proof; machine check only falsification,LOCAL_SANDBOX_COMPLETE,promote proof + add independent checker hash
R5,Carpi C3 non-identifiability lemma,PAPER4_FINAL_CARPI_NONIDENTIFIABILITY_LEMMA_2026-08-29.md,primary source restatement arXiv:2605.20504 Theorem 2.6,structural proof,LOCAL_SANDBOX_COMPLETE,record source quote/page and promote only after owner review
R6,Factor-maximal subset covers AF/AEF/no-C,existing Paper-4 cover artifacts,existing cover checker,"AF {faf}; AEF {eafea,fafea}; no-C promoted covers",NEEDS_LOCAL_CAPTURE,"artifact paths, SHA256, generation commands, independent checker"
R7,E→A raw support counts,existing E→A compiler artifacts,existing report/run artifacts,361 ternary / 419 binary / 380 unary,NEEDS_LOCAL_CAPTURE,"exact compiler version, input E definition, command, raw output hash"
R8,AFE implementation semantics,afe_csp / target-bucket artifacts,implementation-semantics audit,3081 raw; 703 arity-0; 1238 unary raw; 443 aggregated; 652 discarded,NEEDS_LOCAL_CAPTURE,exact scripts and commands; ensure convention identity
R9,AFE_EXISTS independent cross-check,work/afe_only_crosscheck.js; work/afe_controls.js; work/afe_263_run.js,runs/afe_controls.json; runs/afe_263_crosscheck.json; CSV,263/263; 86 positive; 177 negative; 0 unresolved; 86/86 literal witnesses,PARTIALLY_FROZEN,capture all input/output/script SHA256 and Node version/runtime
R10,AFE cross-check preregistration,AFE_EXISTS_263_CROSSCHECK_PROTOCOL_2026-08-29.md,runs/PROTOCOL_AFE_263.sha256,protocol hash e56c3e2d4e33df84090ad53159cb5761de80da81427ddfe726401e5d38479641,FROZEN,include exact source-population hashes
R11,H quota-matched population,Report-11/12 frozen artifacts,population reconstruction checker,31775 trials / 263 AF+ / 86 AFE / 44 joint / 34 P40,NEEDS_LOCAL_CAPTURE,"source population file hashes, selection algorithm, preregistration chronology"
R12,RX clean population,afexRX2 clean artifact family,population checker,75111 trials / 137 AF+ / 0 AFE / 17 productive E / 0 unresolved,NEEDS_LOCAL_CAPTURE,exact clean-run artifact hashes; explicitly blacklist voided afexRX
R13,Exact-equal strata,RX1000/H1000/RX5000/H5000 artifacts,strata checker,45→0; 40→19; 63→0; 78→36→24,NEEDS_LOCAL_CAPTURE,"input hashes, equality-selection code, commands"
R14,Voided concurrent-writer run,afexRX,void record,must never be used,FROZEN_NEGATIVE,record exact void reason/hash in reproducibility README
